Taxon	FAD	LAD
Acamptonectes_densus               	132.9 	129.4 
Aegirosaurus_leptospondylus        	153.96	149.87
Arthropterygius_chrisorum          	163.47	152.06
Athabascasaurus_bitumineus         	113   	111.5 
Barracudasauroides_panxianensis    	244.94	243.99
Besanosaurus_leptorhynchus         	242.1 	241.5 
Brachypterygius_extremus           	151   	150   
Brachypterygius_pseudoscythica     	150.1 	149.5 
Californosaurus_perrini            	233.5 	228.35
Callawayia_neoscapularis           	221.5 	217.5 
Cartorhynchus_lenticarpus          	247.7 	247.2 
Caypullisaurus_bonapartei          	152.1 	139.4 
Chacaicosaurus_cayi                	170.3 	169.45
Chaohusaurus_chaoxianensis         	247.9 	247.2 
Chaohusaurus_geishanensis          	247.9 	247.2 
Chaohusaurus_zhangjiawanensis      	247.9 	247.2 
Contectopalatus_atavus             	244.94	241.5 
Cryopterygius_kielanae             	149   	147   
Cryopterygius_kristiansenae        	148.3 	147.4 
Cymbospondylus_buchseri            	242.57	240.3 
Cymbospondylus_nichollsi           	243.99	243.05
Cymbospondylus_petrinus            	243.99	241.5 
Cymbospondylus_piscosus            	247.2 	241.5 
Dearcmhara_shawcrossi              	174.43	169.45
Eurhinosaurus_longirostris         	182.7 	180.36
Excalibosaurus_costini             	199.3 	197.8 
Gengasaurus_nicosiai               	155   	150   
Grendelius_alekseevi               	149.6 	147.9 
Grendelius_zhuravlevi              	149.6 	147.9 
Grippia_longirostris               	247.7 	247.2 
Guizhouichthyosaurus_tangae        	233.5 	228.35
Guizhouichthyosaurus_wolonggangense	233.5 	228.35
Gulosaurus_helmi                   	247.7 	247.2 
Hauffiopteryx_typicus              	182.7 	181.25
Himalayasaurus_tibetensis          	228.4 	209.5 
Hudsonelpidia_brevirostris         	226.5 	221.25
Hupehsuchus_nanchangensis          	247.9 	247.2 
Ichthyosaurus_acutirostris         	180.36	175.6 
Ichthyosaurus_anningae             	193.81	189.35
Ichthyosaurus_breviceps            	200.1 	196.31
Ichthyosaurus_communis             	201.3 	196.31
Ichthyosaurus_conybeari            	200.1 	196.31
Ichthyosaurus_larkini              	201.3 	200.85
Ichthyosaurus_somersetensis        	201.3 	200.85
Isfjordosaurus_minor               	247.7 	247.2 
Janusaurus_lundi                   	148.3 	147.4 
Keilhauia_nui                      	145   	143   
Leninia_stellans                   	126.3 	123   
Leptonectes_moorei                 	190.82	187.56
Leptonectes_solei                  	195.31	193.81
Leptonectes_tenuirostris           	201.3 	190.8 
Macgowania_janiceps                	220   	216.9 
Maiaspondylus_lindoei              	111.27	110.22
Malawania_anachronus               	131   	125   
Mikadocephalus_gracilirostris      	242.57	240.3 
Mixosaurus_cornalianus             	242.57	240.3 
Mixosaurus_kuhnschneyderi          	242.57	240.3 
Mixosaurus_xindianensis            	244.94	241.5 
Mollesaurus_periallus              	170.3 	169.45
Muiscasaurus_catheti               	130.77	115.64
Nannopterygius_enthekiodon         	154.6 	149.87
Ophthalmosaurus_icenicus           	165.59	161.39
Ophthalmosaurus_natans             	163.5 	157.3 
Ophthalmosaurus_yasykovi           	147.5 	146.4 
Palvennia_hoybergeti               	148.3 	147.4 
Paraophthalmosaurus_kabanovi       	147.5 	146.9 
Paraophthalmosaurus_saveljeviensis 	149.6 	146.9 
Parvinatator_wapitiensis           	247.7 	247.2 
Pervushovisaurus_bannovkensis      	96.24 	95.47 
Pervushovisaurus_campylodon        	100.45	96.5  
Pessopteryx_nisseri                	247.7 	247.2 
Phalarodon_callawayi               	243.99	239.1 
Phalarodon_fraasi                  	244.94	237   
Phalarodon_major                   	244.94	237   
Phantomosaurus_neubigi             	244.94	241.5 
Platypterygius_americanus          	107.59	100.5 
Platypterygius_australis           	113   	100.5 
Platypterygius_hauthali            	130.77	129.41
Platypterygius_hercynicus          	125   	113   
Platypterygius_platydactylus       	125   	113   
Platypterygius_sachicarum          	130.77	113   
Qianichthyosaurus_xingyiensis      	241.5 	237   
Qianichthyosaurus_zhoui            	237   	228.35
Quasianosteosaurus_vikinghoegdai   	247.7 	247.2 
Sclerocormus_parviceps             	247.9 	247.7 
Shastasaurus_liangae               	233.5 	228.35
Shastasaurus_pacificus             	233.5 	228.35
Shastasaurus_sikkaniensis          	216.9 	214.7 
Shonisaurus_popularis              	233.5 	228.35
Simbirskiasaurus_birjukovi         	130.77	129.41
Sisteronia_seeleyi                 	100.5 	96.24 
Stenopterygius_aaleniensis         	174.1 	172.13
Stenopterygius_quadriscissus       	182.7 	180.36
Stenopterygius_triscissus          	182.7 	180.36
Stenopterygius_uniter              	181.7 	180.36
Suevoleviathan_disinteger          	181.7 	180.36
Suevoleviathan_integer             	181.7 	180.36
Sveltonectes_insolitus             	129.6 	126.3 
Temnodontosaurus_azerguensis       	180.36	178.24
Temnodontosaurus_crassimanus       	182.7 	180.36
Temnodontosaurus_eurycephalus      	199.3 	197.8 
Temnodontosaurus_nuertingensis     	190.8 	187.56
Temnodontosaurus_platyodon         	200.1 	196.31
Temnodontosaurus_trigonodon        	182.7 	180.36
Thaisaurus_chonglakmanii           	250.01	247.2 
Thalattoarchon_saurophagis         	247.2 	244.6 
Tholodus_schmidi                   	241   	237   
Toretocnemus_californicus          	233.5 	228.35
Toretocnemus_zitteli               	233.5 	228.35
Undorosaurus_gorodischensis        	147.9 	146.9 
Undorosaurus_trautscholdi          	150   	144.1 
Utatsusaurus_hataii                	247.7 	247.2 
Wahlisaurus_massarae               	201.3 	200.85
Wimanius_odontopalatus             	241.5 	237   
Xinminosaurus_catactes             	244.94	241.5
